"Colorado Medicaid Fee Schedule January 1, 2012",,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2012.  Please refer to the Fee Schedule Instructions on the website for an explanation of each field.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Relative Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,
0242T,,,,Code is manually priced,0,999,0,No,
0243T,,,,Code is manually priced,0,999,0,No,
0244T,,,,Code is manually priced,0,999,0,No,
0245T,,,,Code is manually priced,0,999,0,No,
0246T,,,,Code is manually priced,0,999,0,No,
0247T,,,,Code is manually priced,0,999,0,No,
0248T,,,,Code is manually priced,0,999,0,No,
0249T,,,,Code is manually priced,0,999,0,No,
0250T,,,,Code is manually priced,0,999,0,No,
0251T,,,,Code is manually priced,0,999,0,No,
0252T,,,,Code is manually priced,0,999,0,No,
0253T,,,,Code is manually priced,0,999,0,No,
0254T,,,,Code is manually priced,0,999,0,No,
0255T,,,,Code is manually priced,0,999,0,No,
0256T,,,,Code is manually priced,0,999,0,No,
0257T,,,,Code is manually priced,0,999,0,No,
0258T,,,,Code is manually priced,0,999,0,No,
0259T,,,,Code is manually priced,0,999,0,No,
0260T,,,,Not a benefit,,,,,
0261T,,,,Not a benefit,,,,,
0262T,,,,Code is manually priced,0,999,0,No,
0263T,,,,Not a benefit,,,,,
0264T,,,,Not a benefit,,,,,
0265T,,,,Not a benefit,,,,,
0266T,,,,Not a benefit,,,,,
0267T,,,,Not a benefit,,,,,
0268T,,,,Not a benefit,,,,,
0269T,,,,Not a benefit,,,,,
0270T,,,,Not a benefit,,,,,
0271T,,,,Not a benefit,,,,,
0272T,,,,Not a benefit,,,,,
0273T,,,,Not a benefit,,,,,
0274T,,,,Not a benefit,,,,,
0275T,,,,Not a benefit,,,,,
0276T,,,,Not a benefit,,,,,
0277T,,,,Not a benefit,,,,,
0278T,,,,Not a benefit,,,,,
0279T,,,,Not a benefit,,,,,
0280T,,,,Not a benefit,,,,,
0281T,,,,Not a benefit,,,,,
0282T,,,,Code is manually priced,0,999,0,Yes,
0283T,,,,Code is manually priced,0,999,0,Yes,
0284T,,,,Code is manually priced,0,999,0,No,
0285T,,,,Code is manually priced,0,999,0,No,
0287T,,,,Code is manually priced,0,999,0,Yes,
0288T,,,,Not a benefit,,,,,
0289T,,,,Not a benefit,,,,,
0290T,,,,Not a benefit,,,,,
0500F,,,,Not a benefit,,,,,
0501F,,,,Not a benefit,,,,,
0502F,,,,Not a benefit,,,,,
